product_name,brand,category,price_inr,raw_ingredients,region,price_gbp,highlights
Minimalist 2% Salicylic Acid Face Wash,Minimalist,cleanser,299,"Aqua, Salicylic Acid 2%, Zinc PCA, Glycerin, Panthenol",India,2.85,"**Why choose this?** Transparent formulations backed by research at affordable prices. **Best for:** Cleansers are the first step in any routine — they remove dirt, oil, and impurities without stripping the skin. **Price tier:** Budget. Great value for daily use without burning a hole in your pocket. **Key benefit:** Unclogs pores, reduces blackheads, and controls active breakouts."
CeraVe Foaming Facial Cleanser,CeraVe,cleanser,750,"Aqua, Ceramide NP, Ceramide AP, Niacinamide, Glycerin",India;UK,7.14,"**Why choose this?** Dermatologist-developed with essential ceramides for barrier repair. **Best for:** Cleansers are the first step in any routine — they remove dirt, oil, and impurities without stripping the skin. **Price tier:** Mid-range. Balanced price point with quality ingredients for regular use. **Key benefit:** Formulated to improve overall skin health and address specific concerns."
Simple Refreshing Face Wash,Simple,cleanser,325,"Aqua, Glycerin, Panthenol, Allantoin",India;UK,3.1,"**Why choose this?** Gentle, no-frills formulations free from fragrance and harsh chemicals. **Best for:** Cleansers are the first step in any routine — they remove dirt, oil, and impurities without stripping the skin. **Price tier:** Budget. Great value for daily use without burning a hole in your pocket. **Key benefit:** Formulated to improve overall skin health and address specific concerns."
Minimalist 10% Niacinamide Serum,Minimalist,serum,599,"Aqua, Niacinamide 10%, Zinc PCA, Glycerin",India,5.7,"**Why choose this?** Transparent formulations backed by research at affordable prices. **Best for:** Serums deliver high concentrations of active ingredients directly into the skin for targeted results. **Price tier:** Mid-range. Balanced price point with quality ingredients for regular use. **Key benefit:** High-strength niacinamide for oil control, pore refinement, and barrier strengthening."
The Derma Co Niacinamide Serum,The Derma Co,serum,599,"Aqua, Niacinamide, Zinc PCA, Panthenol",India,5.7,**Why choose this?** Clinical strength actives made accessible for Indian skin. **Best for:** Serums deliver high concentrations of active ingredients directly into the skin for targeted results. **Price tier:** Mid-range. Balanced price point with quality ingredients for regular use. **Key benefit:** Formulated to improve overall skin health and address specific concerns.
Plum 15% Vitamin C Serum,Plum,serum,790,"Aqua, Ascorbic Acid, Glycerin, Hyaluronic Acid, Fragrance",India,7.52,"**Why choose this?** Vegan, cruelty-free formulations with natural extracts. **Best for:** Serums deliver high concentrations of active ingredients directly into the skin for targeted results. **Price tier:** Mid-range. Balanced price point with quality ingredients for regular use. **Key benefit:** Brightens skin tone, fades dark spots, and protects from environmental damage."
Re'equil Oil Free Moisturiser,Re'equil,moisturiser,395,"Aqua, Glycerin, Zinc PCA, Panthenol",India,3.76,"**Why choose this?** Formulated for Indian climate conditions with oil-free options. **Best for:** Moisturisers lock in hydration and strengthen the skin barrier, keeping skin healthy and balanced. **Price tier:** Budget. Great value for daily use without burning a hole in your pocket. **Key benefit:** Provides lasting hydration and maintains a healthy moisture barrier."
CeraVe Moisturising Cream,CeraVe,moisturiser,850,"Aqua, Ceramide NP, Cholesterol, Fatty Acids, Glycerin",India;UK,8.1,"**Why choose this?** Dermatologist-developed with essential ceramides for barrier repair. **Best for:** Moisturisers lock in hydration and strengthen the skin barrier, keeping skin healthy and balanced. **Price tier:** Mid-range. Balanced price point with quality ingredients for regular use. **Key benefit:** Provides lasting hydration and maintains a healthy moisture barrier."
Nivea Soft Cream,Nivea,moisturiser,250,"Aqua, Mineral Oil, Fragrance, Glycerin",India;UK,2.38,"**Why choose this?** Classic drugstore brand offering reliable hydration at accessible prices. **Best for:** Moisturisers lock in hydration and strengthen the skin barrier, keeping skin healthy and balanced. **Price tier:** Budget. Great value for daily use without burning a hole in your pocket. **Key benefit:** Provides lasting hydration and maintains a healthy moisture barrier."
Dot & Key Cica Niacinamide Sunscreen,Dot & Key,sunscreen,495,"Aqua, Niacinamide, Centella Asiatica, Glycerin, UV Filters",India,4.71,"**Why choose this?** Modern skincare combining actives with soothing botanicals. **Best for:** Sunscreen is the most important step — it protects against UV damage, premature aging, and hyperpigmentation. **Price tier:** Budget. Great value for daily use without burning a hole in your pocket. **Key benefit:** Broad-spectrum UV protection to prevent photoaging and hyperpigmentation."
